input,cost_algo2i,output_algo2i,runtime_algo2i
"[1, 2, 3]",1,"['[(1, 2), (1, 3), (2, 3)]']",0.00011107
"[1, 3, 2]",1,"['[(1, 2), (1, 3), (3, 2)]']",5.117e-05
"[2, 1, 3]",1,"['[(1, 3), (2, 1), (2, 3)]']",2.565e-05
"[2, 3, 1]",1,"['[(2, 1), (2, 3), (3, 1)]']",1.973e-05
"[3, 1, 2]",1,"['[(1, 2), (3, 1), (3, 2)]']",1.89e-05
"[3, 2, 1]",1,"['[(2, 1), (3, 1), (3, 2)]']",1.786e-05
"[1, 2, 3]-[1, 3, 2]",1,"['[(1, 2), (1, 3)]']",6.33e-05
"[1, 2, 3]-[2, 1, 3]",1,"['[(1, 3), (2, 3)]']",4.861e-05
"[1, 2, 3]-[2, 3, 1]",2,"['[(1, 2), (1, 3), (2, 3)]', '[(2, 1), (2, 3), (3, 1)]']",4.811e-05
"[1, 2, 3]-[3, 1, 2]",2,"['[(1, 2), (1, 3), (2, 3)]', '[(1, 2), (3, 1), (3, 2)]']",3.904e-05
"[1, 2, 3]-[3, 2, 1]",2,"['[(1, 2), (1, 3), (2, 3)]', '[(2, 1), (3, 1), (3, 2)]']",3.747e-05
"[1, 3, 2]-[2, 1, 3]",2,"['[(1, 2), (1, 3), (3, 2)]', '[(1, 3), (2, 1), (2, 3)]']",3.709e-05
"[1, 3, 2]-[2, 3, 1]",2,"['[(1, 2), (1, 3), (3, 2)]', '[(2, 1), (2, 3), (3, 1)]']",3.695e-05
"[1, 3, 2]-[3, 1, 2]",1,"['[(1, 2), (3, 2)]']",4.57e-05
"[1, 3, 2]-[3, 2, 1]",2,"['[(1, 2), (1, 3), (3, 2)]', '[(2, 1), (3, 1), (3, 2)]']",3.714e-05
"[2, 1, 3]-[2, 3, 1]",1,"['[(2, 1), (2, 3)]']",4.428e-05
"[2, 1, 3]-[3, 1, 2]",2,"['[(1, 3), (2, 1), (2, 3)]', '[(1, 2), (3, 1), (3, 2)]']",3.875e-05
"[2, 1, 3]-[3, 2, 1]",2,"['[(1, 3), (2, 1), (2, 3)]', '[(2, 1), (3, 1), (3, 2)]']",3.791e-05
"[2, 3, 1]-[3, 1, 2]",2,"['[(2, 1), (2, 3), (3, 1)]', '[(1, 2), (3, 1), (3, 2)]']",3.609e-05
"[2, 3, 1]-[3, 2, 1]",1,"['[(2, 1), (3, 1)]']",5.811e-05
"[3, 1, 2]-[3, 2, 1]",1,"['[(3, 1), (3, 2)]']",4.466e-05
"[1, 2, 3]-[1, 3, 2]-[2, 1, 3]",2,"['[(1, 2), (1, 3)]', '[(1, 3), (2, 1), (2, 3)]']",6.179e-05
"[1, 2, 3]-[1, 3, 2]-[2, 3, 1]",2,"['[(1, 2), (1, 3)]', '[(2, 1), (2, 3), (3, 1)]']",6.139e-05
"[1, 2, 3]-[1, 3, 2]-[3, 1, 2]",2,"['[(1, 2), (1, 3)]', '[(1, 2), (3, 1), (3, 2)]']",6.116e-05
"[1, 2, 3]-[1, 3, 2]-[3, 2, 1]",2,"['[(1, 2), (1, 3)]', '[(2, 1), (3, 1), (3, 2)]']",5.946e-05
"[1, 2, 3]-[2, 1, 3]-[2, 3, 1]",2,"['[(1, 3), (2, 3)]', '[(2, 1), (2, 3), (3, 1)]']",6.021e-05
