input,cost_algo2i,output_algo2i,runtime_algo2i
"[1, 2, 3]-[1, 3, 2]",1,"['[(1, 2), (1, 3)]']",6.587e-05
"[3, 1, 2]",1,"['[(1, 2), (3, 1), (3, 2)]']",1.269e-05
"[2, 1, 3]",1,"['[(1, 3), (2, 1), (2, 3)]']",9.18e-06
"[2, 3, 1]-[3, 2, 1]",1,"['[(2, 1), (3, 1)]']",2.546e-05
"[1, 2, 3]",1,"['[(1, 2), (1, 3), (2, 3)]']",8.7e-06
"[1, 3, 2]-[3, 1, 2]",1,"['[(1, 2), (3, 2)]']",2.008e-05
"[2, 1, 3]-[2, 3, 1]",1,"['[(2, 1), (2, 3)]']",2.052e-05
"[3, 2, 1]",1,"['[(2, 1), (3, 1), (3, 2)]']",8.8e-06
"[1, 3, 2]",1,"['[(1, 2), (1, 3), (3, 2)]']",7.98e-06
"[1, 2, 3]-[2, 1, 3]",1,"['[(1, 3), (2, 3)]']",1.863e-05
"[3, 1, 2]-[3, 2, 1]",1,"['[(3, 1), (3, 2)]']",1.878e-05
"[2, 3, 1]",1,"['[(2, 1), (2, 3), (3, 1)]']",8.35e-06
