input,cost_algo2,output_algo2,runtime_algo2
"[1, 2, 3]-[1, 3, 2]",2,"['[(1, 2), (1, 3)]', '[(1, 2), (1, 3), (3, 2)]']",0.0001894
"[3, 1, 2]",1,"['[(1, 2), (3, 1), (3, 2)]']",4.08e-05
"[2, 1, 3]",1,"['[(1, 3), (2, 1), (2, 3)]']",4.88e-05
"[2, 3, 1]-[3, 2, 1]",2,"['[(2, 1), (3, 1)]', '[(2, 1), (3, 1), (3, 2)]']",0.0001056
"[1, 2, 3]",1,"['[(1, 2), (1, 3), (2, 3)]']",5.08e-05
"[1, 3, 2]-[3, 1, 2]",2,"['[(1, 2), (3, 2)]', '[(1, 2), (3, 1), (3, 2)]']",7.56e-05
"[2, 1, 3]-[2, 3, 1]",2,"['[(2, 1), (2, 3)]', '[(2, 1), (2, 3), (3, 1)]']",0.0001128
"[3, 2, 1]",1,"['[(2, 1), (3, 1), (3, 2)]']",4.85e-05
"[1, 3, 2]",1,"['[(1, 2), (1, 3), (3, 2)]']",4.34e-05
"[1, 2, 3]-[2, 1, 3]",2,"['[(1, 3), (2, 3)]', '[(1, 3), (2, 1), (2, 3)]']",0.0001094
"[3, 1, 2]-[3, 2, 1]",2,"['[(3, 1), (3, 2)]', '[(2, 1), (3, 1), (3, 2)]']",0.0001255
"[2, 3, 1]",1,"['[(2, 1), (2, 3), (3, 1)]']",5.19e-05
