input,cost_algo1,output_algo1,runtime_algo1
"[1, 2, 3, 4]",1,"['[(1, 2), (2, 3), (3, 4)]']",0.0001626
"[1, 2, 4, 3]",1,"['[(1, 2), (2, 4), (4, 3)]']",0.0001224
"[1, 3, 2, 4]",1,"['[(1, 3), (2, 4), (3, 2)]']",9.34e-05
"[1, 3, 4, 2]",1,"['[(1, 3), (3, 4), (4, 2)]']",0.0001585
"[1, 4, 2, 3]",1,"['[(1, 4), (2, 3), (4, 2)]']",8.39e-05
"[1, 4, 3, 2]",1,"['[(1, 4), (3, 2), (4, 3)]']",0.0001178
"[2, 1, 3, 4]",1,"['[(1, 3), (2, 1), (3, 4)]']",0.0001157
"[2, 1, 4, 3]",1,"['[(1, 4), (2, 1), (4, 3)]']",9.69e-05
"[2, 3, 1, 4]",1,"['[(1, 4), (2, 3), (3, 1)]']",0.0001278
"[2, 3, 4, 1]",1,"['[(2, 3), (3, 4), (4, 1)]']",9.26e-05
"[2, 4, 1, 3]",1,"['[(1, 3), (2, 4), (4, 1)]']",9.31e-05
"[2, 4, 3, 1]",1,"['[(2, 4), (3, 1), (4, 3)]']",8.78e-05
"[3, 1, 2, 4]",1,"['[(1, 2), (2, 4), (3, 1)]']",7.48e-05
"[3, 1, 4, 2]",1,"['[(1, 4), (3, 1), (4, 2)]']",6.71e-05
"[3, 2, 1, 4]",1,"['[(1, 4), (2, 1), (3, 2)]']",8.43e-05
"[3, 2, 4, 1]",1,"['[(2, 4), (3, 2), (4, 1)]']",0.0001298
"[3, 4, 1, 2]",1,"['[(1, 2), (3, 4), (4, 1)]']",0.0001944
"[3, 4, 2, 1]",1,"['[(2, 1), (3, 4), (4, 2)]']",0.0002016
"[4, 1, 2, 3]",1,"['[(1, 2), (2, 3), (4, 1)]']",0.0001343
"[4, 1, 3, 2]",1,"['[(1, 3), (3, 2), (4, 1)]']",0.0002399
"[4, 2, 1, 3]",1,"['[(1, 3), (2, 1), (4, 2)]']",0.0001314
"[4, 2, 3, 1]",1,"['[(2, 3), (3, 1), (4, 2)]']",0.0001257
"[4, 3, 1, 2]",1,"['[(1, 2), (3, 1), (4, 3)]']",0.0002032
"[4, 3, 2, 1]",1,"['[(2, 1), (3, 2), (4, 3)]']",0.0001136
"[1, 2, 4, 3]-[3, 2, 1, 4]",2,"['[(1, 2), (2, 4), (4, 3)]', '[(1, 4), (2, 1), (3, 2)]']",0.0001462
"[1, 2, 4, 3]-[3, 1, 2, 4]",2,"['[(1, 2), (2, 4), (4, 3)]', '[(1, 2), (2, 4), (3, 1)]']",0.0001275
"[3, 2, 1, 4]-[4, 3, 2, 1]",2,"['[(1, 4), (2, 1), (3, 2)]', '[(2, 1), (3, 2), (4, 3)]']",0.0001599
"[2, 4, 3, 1]-[4, 3, 2, 1]",2,"['[(2, 4), (3, 1), (4, 3)]', '[(2, 1), (3, 2), (4, 3)]']",0.0001321
"[2, 3, 1, 4]-[3, 4, 1, 2]",2,"['[(1, 4), (2, 3), (3, 1)]', '[(1, 2), (3, 4), (4, 1)]']",0.0001721
"[1, 3, 2, 4]-[2, 3, 4, 1]",2,"['[(1, 3), (2, 4), (3, 2)]', '[(2, 3), (3, 4), (4, 1)]']",0.0002058
"[1, 2, 4, 3]-[2, 3, 1, 4]",2,"['[(1, 2), (2, 4), (4, 3)]', '[(1, 4), (2, 3), (3, 1)]']",0.0001231
"[2, 4, 1, 3]-[3, 4, 2, 1]",2,"['[(1, 3), (2, 4), (4, 1)]', '[(2, 1), (3, 4), (4, 2)]']",0.0001217
"[1, 2, 3, 4]-[4, 3, 1, 2]",2,"['[(1, 2), (2, 3), (3, 4)]', '[(1, 2), (3, 1), (4, 3)]']",0.0003031
"[1, 3, 4, 2]-[2, 3, 4, 1]",2,"['[(1, 3), (3, 4), (4, 2)]', '[(2, 3), (3, 4), (4, 1)]']",0.0002127
