input,input_size,vertex_count,cost_algo2,output_algo2,runtime_algo2
"[1, 2, 3]",1,3,1,"['[(1, 2), (1, 3), (2, 3)]']",6.85e-05
"[1, 3, 2]",1,3,1,"['[(1, 2), (1, 3), (3, 2)]']",2.57e-05
"[2, 1, 3]",1,3,1,"['[(1, 3), (2, 1), (2, 3)]']",3.04e-05
"[2, 3, 1]",1,3,1,"['[(2, 1), (2, 3), (3, 1)]']",4.01e-05
"[3, 1, 2]",1,3,1,"['[(1, 2), (3, 1), (3, 2)]']",2.28e-05
"[3, 2, 1]",1,3,1,"['[(2, 1), (3, 1), (3, 2)]']",2.88e-05
"[1, 2, 3]-[1, 3, 2]",2,3,1,"['[(1, 2), (1, 3)]']",5.84e-05
"[1, 2, 3]-[2, 1, 3]",2,3,1,"['[(1, 3), (2, 3)]']",5.68e-05
"[1, 2, 3]-[2, 3, 1]",2,3,2,"['[(1, 2), (1, 3), (2, 3)]', '[(2, 1), (2, 3), (3, 1)]']",5.35e-05
"[1, 2, 3]-[3, 1, 2]",2,3,2,"['[(1, 2), (1, 3), (2, 3)]', '[(1, 2), (3, 1), (3, 2)]']",4.03e-05
"[1, 2, 3]-[3, 2, 1]",2,3,2,"['[(1, 2), (1, 3), (2, 3)]', '[(2, 1), (3, 1), (3, 2)]']",4.83e-05
"[1, 3, 2]-[2, 1, 3]",2,3,2,"['[(1, 2), (1, 3), (3, 2)]', '[(1, 3), (2, 1), (2, 3)]']",5.29e-05
"[1, 3, 2]-[2, 3, 1]",2,3,2,"['[(1, 2), (1, 3), (3, 2)]', '[(2, 1), (2, 3), (3, 1)]']",4.49e-05
"[1, 3, 2]-[3, 1, 2]",2,3,1,"['[(1, 2), (3, 2)]']",5.42e-05
"[1, 3, 2]-[3, 2, 1]",2,3,2,"['[(1, 2), (1, 3), (3, 2)]', '[(2, 1), (3, 1), (3, 2)]']",5.3e-05
"[2, 1, 3]-[2, 3, 1]",2,3,1,"['[(2, 1), (2, 3)]']",6.14e-05
"[2, 1, 3]-[3, 1, 2]",2,3,2,"['[(1, 3), (2, 1), (2, 3)]', '[(1, 2), (3, 1), (3, 2)]']",5.03e-05
"[2, 1, 3]-[3, 2, 1]",2,3,2,"['[(1, 3), (2, 1), (2, 3)]', '[(2, 1), (3, 1), (3, 2)]']",3.26e-05
"[2, 3, 1]-[3, 1, 2]",2,3,2,"['[(2, 1), (2, 3), (3, 1)]', '[(1, 2), (3, 1), (3, 2)]']",4.23e-05
"[2, 3, 1]-[3, 2, 1]",2,3,1,"['[(2, 1), (3, 1)]']",3.61e-05
"[3, 1, 2]-[3, 2, 1]",2,3,1,"['[(3, 1), (3, 2)]']",3.91e-05
"[1, 2, 3]-[1, 3, 2]-[2, 1, 3]",3,3,3,"['[(1, 2), (1, 3)]', '[(1, 3), (2, 3)]', '[(1, 2), (1, 3), (3, 2)]']",5.71e-05
"[1, 2, 3]-[1, 3, 2]-[2, 3, 1]",3,3,2,"['[(1, 2), (1, 3)]', '[(1, 2), (1, 3), (3, 2)]']",5.06e-05
"[1, 2, 3]-[1, 3, 2]-[3, 1, 2]",3,3,2,"['[(1, 2), (1, 3)]', '[(1, 2), (3, 2)]']",5.87e-05
"[1, 2, 3]-[1, 3, 2]-[3, 2, 1]",3,3,2,"['[(1, 2), (1, 3)]', '[(1, 2), (1, 3), (3, 2)]']",5.11e-05
"[1, 2, 3]-[2, 1, 3]-[2, 3, 1]",3,3,2,"['[(1, 3), (2, 3)]', '[(2, 1), (2, 3)]']",5.01e-05
"[1, 2, 3]-[2, 1, 3]-[3, 1, 2]",3,3,2,"['[(1, 3), (2, 3)]', '[(1, 3), (2, 1), (2, 3)]']",6.2e-05
"[1, 2, 3]-[2, 1, 3]-[3, 2, 1]",3,3,2,"['[(1, 3), (2, 3)]', '[(1, 3), (2, 1), (2, 3)]']",5.13e-05
"[1, 2, 3]-[2, 3, 1]-[3, 1, 2]",3,3,3,"['[(1, 2), (1, 3), (2, 3)]', '[(2, 1), (2, 3), (3, 1)]', '[(1, 2), (3, 1), (3, 2)]']",3.42e-05
