input,cost_optsol,output_optsol,runtime_optsol
"[1, 2, 3]",1,"['[(2, 3), (1, 2), (1, 3)]']",0.0001449
"[1, 3, 2]",1,"['[(3, 2), (1, 2), (1, 3)]']",0.0001131
"[2, 1, 3]",1,"['[(2, 3), (1, 3), (2, 1)]']",9.68e-05
"[2, 3, 1]",1,"['[(2, 3), (3, 1), (2, 1)]']",8.97e-05
"[3, 1, 2]",1,"['[(3, 1), (3, 2), (1, 2)]']",6.41e-05
"[3, 2, 1]",1,"['[(3, 1), (3, 2), (2, 1)]']",0.0001055
"[1, 2, 3]-[1, 3, 2]",1,"['[(1, 2), (1, 3)]']",0.0001926
"[1, 2, 3]-[2, 1, 3]",1,"['[(2, 3), (1, 3)]']",0.0001426
"[1, 2, 3]-[2, 3, 1]",2,"['[(2, 3), (1, 2), (1, 3)]', '[(2, 3), (3, 1), (2, 1)]']",0.00016
"[1, 2, 3]-[3, 1, 2]",2,"['[(2, 3), (1, 2), (1, 3)]', '[(3, 1), (3, 2), (1, 2)]']",0.0002517
"[1, 2, 3]-[3, 2, 1]",2,"['[(2, 3), (1, 2), (1, 3)]', '[(3, 1), (3, 2), (2, 1)]']",0.0001791
"[1, 3, 2]-[2, 1, 3]",2,"['[(3, 2), (1, 2), (1, 3)]', '[(2, 3), (1, 3), (2, 1)]']",0.000194
"[1, 3, 2]-[2, 3, 1]",2,"['[(3, 2), (1, 2), (1, 3)]', '[(2, 3), (3, 1), (2, 1)]']",0.0001938
"[1, 3, 2]-[3, 1, 2]",1,"['[(3, 2), (1, 2)]']",0.000123
"[1, 3, 2]-[3, 2, 1]",2,"['[(3, 2), (1, 2), (1, 3)]', '[(3, 1), (3, 2), (2, 1)]']",0.0001589
"[2, 1, 3]-[2, 3, 1]",1,"['[(2, 3), (2, 1)]']",0.0001142
"[2, 1, 3]-[3, 1, 2]",2,"['[(2, 3), (1, 3), (2, 1)]', '[(3, 1), (3, 2), (1, 2)]']",0.0001597
"[2, 1, 3]-[3, 2, 1]",2,"['[(2, 3), (1, 3), (2, 1)]', '[(3, 1), (3, 2), (2, 1)]']",0.0001264
"[2, 3, 1]-[3, 1, 2]",2,"['[(2, 3), (3, 1), (2, 1)]', '[(3, 1), (3, 2), (1, 2)]']",0.0001236
"[2, 3, 1]-[3, 2, 1]",1,"['[(3, 1), (2, 1)]']",0.000118
"[3, 1, 2]-[3, 2, 1]",1,"['[(3, 1), (3, 2)]']",0.0001746
"[1, 2, 3]-[1, 3, 2]-[2, 1, 3]",1,"['[(1, 3)]']",0.000299
"[1, 2, 3]-[1, 3, 2]-[2, 3, 1]",2,"['[(2, 3), (3, 1), (2, 1)]', '[(1, 2), (1, 3)]']",0.0003453
"[1, 2, 3]-[1, 3, 2]-[3, 1, 2]",1,"['[(1, 2)]']",0.0002398
"[1, 2, 3]-[1, 3, 2]-[3, 2, 1]",2,"['[(3, 1), (3, 2), (2, 1)]', '[(1, 2), (1, 3)]']",0.0002613
"[1, 2, 3]-[2, 1, 3]-[2, 3, 1]",1,"['[(2, 3)]']",0.0003341
