input,cost_optsol,output_optsol,runtime_optsol
"[1, 2, 3]",1,"['[(2, 3), (1, 2), (1, 3)]']",9.64e-05
"[1, 3, 2]",1,"['[(3, 2), (1, 2), (1, 3)]']",6.28e-05
"[2, 1, 3]",1,"['[(2, 3), (1, 3), (2, 1)]']",5.45e-05
"[2, 3, 1]",1,"['[(2, 3), (3, 1), (2, 1)]']",4.56e-05
"[3, 1, 2]",1,"['[(3, 1), (3, 2), (1, 2)]']",8.26e-05
"[3, 2, 1]",1,"['[(3, 1), (3, 2), (2, 1)]']",8.27e-05
"[1, 2, 3]-[1, 3, 2]",1,"['[(1, 2), (1, 3)]']",0.0001549
"[1, 2, 3]-[2, 1, 3]",1,"['[(2, 3), (1, 3)]']",0.0001002
"[1, 2, 3]-[2, 3, 1]",2,"['[(2, 3), (1, 2), (1, 3)]', '[(2, 3), (3, 1), (2, 1)]']",0.0001332
"[1, 2, 3]-[3, 1, 2]",2,"['[(2, 3), (1, 2), (1, 3)]', '[(3, 1), (3, 2), (1, 2)]']",0.0001195
"[1, 2, 3]-[3, 2, 1]",2,"['[(2, 3), (1, 2), (1, 3)]', '[(3, 1), (3, 2), (2, 1)]']",0.000134
"[1, 3, 2]-[2, 1, 3]",2,"['[(3, 2), (1, 2), (1, 3)]', '[(2, 3), (1, 3), (2, 1)]']",0.0001157
"[1, 3, 2]-[2, 3, 1]",2,"['[(3, 2), (1, 2), (1, 3)]', '[(2, 3), (3, 1), (2, 1)]']",0.0001134
"[1, 3, 2]-[3, 1, 2]",1,"['[(3, 2), (1, 2)]']",0.0001672
"[1, 3, 2]-[3, 2, 1]",2,"['[(3, 2), (1, 2), (1, 3)]', '[(3, 1), (3, 2), (2, 1)]']",9.08e-05
"[2, 1, 3]-[2, 3, 1]",1,"['[(2, 3), (2, 1)]']",0.000181
"[2, 1, 3]-[3, 1, 2]",2,"['[(2, 3), (1, 3), (2, 1)]', '[(3, 1), (3, 2), (1, 2)]']",0.0001202
"[2, 1, 3]-[3, 2, 1]",2,"['[(2, 3), (1, 3), (2, 1)]', '[(3, 1), (3, 2), (2, 1)]']",0.000114
"[2, 3, 1]-[3, 1, 2]",2,"['[(2, 3), (3, 1), (2, 1)]', '[(3, 1), (3, 2), (1, 2)]']",0.0001191
"[2, 3, 1]-[3, 2, 1]",1,"['[(3, 1), (2, 1)]']",0.0001175
"[3, 1, 2]-[3, 2, 1]",1,"['[(3, 1), (3, 2)]']",0.0001392
"[1, 2, 3]-[1, 3, 2]-[2, 1, 3]",2,"['[(3, 2), (1, 2), (1, 3)]', '[(2, 3), (1, 3)]']",0.0002505
"[1, 2, 3]-[1, 3, 2]-[2, 3, 1]",2,"['[(2, 3), (3, 1), (2, 1)]', '[(1, 2), (1, 3)]']",0.0001488
"[1, 2, 3]-[1, 3, 2]-[3, 1, 2]",2,"['[(2, 3), (1, 2), (1, 3)]', '[(3, 2), (1, 2)]']",0.0001841
"[1, 2, 3]-[1, 3, 2]-[3, 2, 1]",2,"['[(3, 1), (3, 2), (2, 1)]', '[(1, 2), (1, 3)]']",0.0001912
"[1, 2, 3]-[2, 1, 3]-[2, 3, 1]",2,"['[(2, 3), (1, 2), (1, 3)]', '[(2, 3), (2, 1)]']",0.0002752
"[1, 2, 3]-[2, 1, 3]-[3, 1, 2]",2,"['[(3, 1), (3, 2), (1, 2)]', '[(2, 3), (1, 3)]']",0.0002858
"[1, 2, 3]-[2, 1, 3]-[3, 2, 1]",2,"['[(3, 1), (3, 2), (2, 1)]', '[(2, 3), (1, 3)]']",0.000332
"[1, 2, 3]-[2, 3, 1]-[3, 1, 2]",3,"['[(2, 3), (1, 2), (1, 3)]', '[(2, 3), (3, 1), (2, 1)]', '[(3, 1), (3, 2), (1, 2)]']",0.0001344
"[1, 2, 3]-[2, 3, 1]-[3, 2, 1]",2,"['[(2, 3), (1, 2), (1, 3)]', '[(3, 1), (2, 1)]']",0.000252
"[1, 2, 3]-[3, 1, 2]-[3, 2, 1]",2,"['[(2, 3), (1, 2), (1, 3)]', '[(3, 1), (3, 2)]']",0.000121
"[1, 3, 2]-[2, 1, 3]-[2, 3, 1]",2,"['[(3, 2), (1, 2), (1, 3)]', '[(2, 3), (2, 1)]']",0.0001878
"[1, 3, 2]-[2, 1, 3]-[3, 1, 2]",2,"['[(2, 3), (1, 3), (2, 1)]', '[(3, 2), (1, 2)]']",0.0001484
"[1, 3, 2]-[2, 1, 3]-[3, 2, 1]",3,"['[(3, 2), (1, 2), (1, 3)]', '[(2, 3), (1, 3), (2, 1)]', '[(3, 1), (3, 2), (2, 1)]']",0.0001149
"[1, 3, 2]-[2, 3, 1]-[3, 1, 2]",2,"['[(2, 3), (3, 1), (2, 1)]', '[(3, 2), (1, 2)]']",0.0001766
"[1, 3, 2]-[2, 3, 1]-[3, 2, 1]",2,"['[(3, 2), (1, 2), (1, 3)]', '[(3, 1), (2, 1)]']",0.0001671
"[1, 3, 2]-[3, 1, 2]-[3, 2, 1]",2,"['[(3, 2), (1, 2), (1, 3)]', '[(3, 1), (3, 2)]']",0.0001736
"[2, 1, 3]-[2, 3, 1]-[3, 1, 2]",2,"['[(3, 1), (3, 2), (1, 2)]', '[(2, 3), (2, 1)]']",0.000177
"[2, 1, 3]-[2, 3, 1]-[3, 2, 1]",2,"['[(2, 3), (1, 3), (2, 1)]', '[(3, 1), (2, 1)]']",0.0002924
"[2, 1, 3]-[3, 1, 2]-[3, 2, 1]",2,"['[(2, 3), (1, 3), (2, 1)]', '[(3, 1), (3, 2)]']",0.0001465
"[2, 3, 1]-[3, 1, 2]-[3, 2, 1]",2,"['[(2, 3), (3, 1), (2, 1)]', '[(3, 1), (3, 2)]']",0.0001785
"[1, 2, 3]-[1, 3, 2]-[2, 1, 3]-[2, 3, 1]",2,"['[(1, 2), (1, 3)]', '[(2, 3), (2, 1)]']",0.0002862
"[1, 2, 3]-[1, 3, 2]-[2, 1, 3]-[3, 1, 2]",2,"['[(2, 3), (1, 3)]', '[(3, 2), (1, 2)]']",0.0002741
"[1, 2, 3]-[1, 3, 2]-[2, 1, 3]-[3, 2, 1]",3,"['[(3, 2), (1, 2), (1, 3)]', '[(3, 1), (3, 2), (2, 1)]', '[(2, 3), (1, 3)]']",0.0002853
"[1, 2, 3]-[1, 3, 2]-[2, 3, 1]-[3, 1, 2]",3,"['[(2, 3), (1, 2), (1, 3)]', '[(2, 3), (3, 1), (2, 1)]', '[(3, 2), (1, 2)]']",0.0004002
"[1, 2, 3]-[1, 3, 2]-[2, 3, 1]-[3, 2, 1]",2,"['[(1, 2), (1, 3)]', '[(3, 1), (2, 1)]']",0.0003178
"[1, 2, 3]-[1, 3, 2]-[3, 1, 2]-[3, 2, 1]",2,"['[(1, 2), (1, 3)]', '[(3, 1), (3, 2)]']",0.0002897
"[1, 2, 3]-[2, 1, 3]-[2, 3, 1]-[3, 1, 2]",3,"['[(2, 3), (1, 2), (1, 3)]', '[(3, 1), (3, 2), (1, 2)]', '[(2, 3), (2, 1)]']",0.0002633
"[1, 2, 3]-[2, 1, 3]-[2, 3, 1]-[3, 2, 1]",2,"['[(2, 3), (1, 3)]', '[(3, 1), (2, 1)]']",0.0004154
"[1, 2, 3]-[2, 1, 3]-[3, 1, 2]-[3, 2, 1]",2,"['[(2, 3), (1, 3)]', '[(3, 1), (3, 2)]']",0.0002389
"[1, 2, 3]-[2, 3, 1]-[3, 1, 2]-[3, 2, 1]",3,"['[(2, 3), (1, 2), (1, 3)]', '[(2, 3), (3, 1), (2, 1)]', '[(3, 1), (3, 2)]']",0.0002485
"[1, 3, 2]-[2, 1, 3]-[2, 3, 1]-[3, 1, 2]",2,"['[(3, 2), (1, 2)]', '[(2, 3), (2, 1)]']",0.0002359
